"Column1","Column2","Column3"
"1942","10","4546.0"
"1942","11","6825.0"
"1942","12","1089.0"
"1943","01","912.0"
"1943","02","857.0"
"1943","03","768.0"
"1943","04","841.0"
"1943","05","1492.0"
"1943","06","1537.0"
"1943","07","1369.0"
"1943","08","9572.0"
"1943","09","8265.0"
"1943","10","8000.0"
"1943","11","3220.0"
"1943","12","1530.0"
"1944","01","970.0"
"1944","02","690.0"
"1944","03","770.0"
"1944","04","670.0"
"1944","05","820.0"
"1944","06","8830.0"
"1944","07","19160.0"
"1944","08","4710.0"
"1944","09","1750.0"
"1944","10","706.0"
"1944","11","623.0"
"1944","12","609.0"
"1945","01","659.0"
"1945","02","603.0"
"1945","03","655.0"
"1945","04","655.0"
"1945","05","815.0"
"1945","06","1232.0"
"1945","07","1650.0"
"1945","08","9154.0"
"1945","09","1587.0"
"1945","10","1327.0"
"1945","11","603.0"
"1945","12","2789.0"
"1946","01","522.0"
"1946","02","401.0"
"1946","03","569.0"
"1946","04","565.0"
"1946","05","972.0"
"1946","06","1154.0"
"1946","07","1365.0"
"1946","08","1337.0"
"1946","09","1256.0"
"1946","10","996.0"
"1946","11","881.0"
"1946","12","926.0"
"1947","01","764.0"
"1947","02","811.0"
"1947","03","1039.0"
"1947","04","1002.0"
"1947","05","1382.0"
"1947","06","1549.0"
"1947","07","2602.0"
"1947","08","2642.0"
"1947","09","1273.0"
"1947","10","1198.0"
"1947","11","1192.0"
"1947","12","2241.0"
"1948","01","1603.0"
"1948","02","1287.0"
"1948","03","1452.0"
"1948","04","871.0"
"1948","05","988.0"
"1948","06","1585.0"
"1948","07","1260.0"
"1948","08","986.0"
"1948","09","482.0"
"1948","10","635.0"
"1948","11","627.0"
"1948","12","738.0"
"1949","01","686.0"
"1949","02","603.0"
"1949","03","946.0"
"1949","04","833.0"
"1949","05","1430.0"
"1949","06","1244.0"
"1949","07","813.0"
"1949","08","966.0"
"1949","09","660.0"
"1949","10","690.0"
"1949","11","660.0"
"1949","12","630.0"
"1950","01","680.0"
"1950","02","640.0"
"1950","03","780.0"
"1950","04","710.0"
"1950","05","1050.0"
"1950","06","12760.0"
"1950","07","1450.0"
"1950","08","1170.0"
"1950","09","1170.0"
"1950","10","1444.0"
"1950","11","1386.0"
"1950","12","1442.0"
"1951","01","1394.0"
"1951","02","1353.0"
"1951","03","1462.0"
"1951","04","1377.0"
"1951","05","1652.0"
"1951","06","2043.0"
"1951","07","1345.0"
"1951","08","1202.0"
"1951","09","1055.0"
"1951","10","1008.0"
"1951","11","1059.0"
"1951","12","1033.0"
"1952","01","899.0"
"1952","02","819.0"
"1952","03","976.0"
"1952","04","1154.0"
"1952","05","1837.0"
"1952","06","1827.0"
"1952","07","1150.0"
"1952","08","932.0"
"1952","09","841.0"
"1952","10","922.0"
"1952","11","791.0"
"1952","12","948.0"
"1953","01","1035.0"
"1953","02","996.0"
"1953","03","1039.0"
"1953","04","899.0"
"1953","05","1224.0"
"1953","06","585.0"
"1953","07","766.0"
"1953","08","607.0"
"1953","09","569.0"
"1953","10","857.0"
"1953","11","857.0"
"1953","12","950.0"
"1954","01","984.0"
"1954","02","914.0"
"1954","03","1380.0"
"1954","04","678.0"
"1954","05","883.0"
"1954","06","557.0"
"1954","07","766.0"
"1954","08","754.0"
"1954","09","383.0"
"1954","10","653.0"
"1954","11","627.0"
"1954","12","343.0"
"1955","01","391.0"
"1955","02","391.0"
"1955","03","534.0"
"1955","04","787.0"
"1955","05","1008.0"
"1955","06","732.0"
"1955","07","849.0"
"1955","08","1513.0"
"1955","09","601.0"
"1955","10","980.0"
"1955","11","1018.0"
"1955","12","1129.0"
"1956","01","1398.0"
"1956","02","1180.0"
"1956","03","1525.0"
"1956","04","1224.0"
"1956","05","1460.0"
"1956","06","1775.0"
"1956","07","1114.0"
"1956","08","661.0"
"1956","09","1592.0"
"1956","10","3515.0"
"1956","11","1267.0"
"1956","12","1137.0"
"1957","01","1137.0"
"1957","02","1027.0"
"1957","03","1442.0"
"1957","04","1624.0"
"1957","05","1926.0"
"1957","06","1864.0"
"1957","07","1343.0"
"1957","08","1150.0"
"1957","09","1152.0"
"1957","10","1206.0"
"1957","11","1234.0"
"1957","12","1118.0"
"1958","01","526.0"
"1958","02","638.0"
"1958","03","811.0"
"1958","04","861.0"
"1958","05","1224.0"
"1958","06","1567.0"
"1958","07","1090.0"
"1958","08","1135.0"
"1958","09","721.0"
"1958","10","956.0"
"1958","11","1269.0"
"1958","12","1172.0"
"1959","01","1085.0"
"1959","02","1023.0"
"1959","03","1204.0"
"1959","04","514.0"
"1959","05","790.0"
"1959","06","1080.0"
"1959","07","1720.0"
"1959","08","1513.0"
"1959","09","893.0"
"1959","10","659.0"
"1959","11","477.0"
"1959","12","400.0"
"1960","01","563.0"
"1960","02","481.0"
"1960","03","671.0"
"1960","04","380.0"
"1960","05","572.0"
"1960","06","563.0"
"1960","07","944.0"
"1960","08","1230.0"
"1960","09","586.0"
"1960","10","344.0"
"1960","11","208.0"
"1960","12","283.0"
"1961","01","361.0"
"1961","02","423.0"
"1961","03","820.0"
"1961","04","353.0"
"1961","05","256.0"
"1961","06","128.0"
"1961","07","118.0"
"1961","08","192.0"
"1961","09","152.0"
"1961","10","47.0"
"1961","11","69.0"
"1961","12","117.0"
"1962","01","132.0"
"1962","02","141.0"
"1962","03","140.0"
"1962","04","245.0"
"1962","05","156.0"
"1962","06","583.0"
"1962","07","574.0"
"1962","08","484.0"
"1962","09","395.0"
"1962","10","301.0"
"1962","11","184.0"
"1962","12","144.0"
"1963","01","190.0"
"1963","02","235.0"
"1963","03","298.0"
"1963","04","173.0"
"1963","05","229.0"
"1963","06","368.0"
"1963","07","317.0"
"1963","08","502.0"
"1963","09","261.0"
"1963","10","86.0"
"1963","11","38.0"
"1963","12","41.0"
"1964","01","74.0"
"1964","02","97.0"
"1964","03","187.0"
"1964","04","362.0"
"1964","05","200.0"
"1964","06","301.0"
"1964","07","180.0"
"1964","08","194.0"
"1964","09","152.0"
"1964","10","171.0"
"1964","11","196.0"
"1964","12","250.0"
"1965","01","272.0"
"1965","02","269.0"
"1965","03","364.0"
"1965","04","349.0"
"1965","05","556.0"
"1965","06","379.0"
"1965","07","248.0"
"1965","08","294.0"
"1965","09","361.0"
"1965","10","467.0"
"1965","11","480.0"
"1965","12","419.0"
"1966","01","366.0"
"1966","02","329.0"
"1966","03","392.0"
"1966","04","457.0"
"1966","05","647.0"
"1966","06","381.0"
"1966","07","378.0"
"1966","08","401.0"
"1966","09","323.0"
"1966","10","369.0"
"1966","11","286.0"
"1966","12","236.0"
"1967","01","223.0"
"1967","02","300.0"
"1967","03","414.0"
"1967","04","360.0"
"1967","05","554.0"
"1967","06","493.0"
"1967","07","317.0"
"1967","08","382.0"
"1967","09","282.0"
"1967","10","421.0"
"1967","11","400.0"
"1967","12","236.0"
"1968","01","189.0"
"1968","02","207.0"
"1968","03","295.0"
"1968","04","143.0"
"1968","05","417.0"
"1968","06","547.0"
"1968","07","468.0"
"1968","08","456.0"
"1968","09","403.0"
"1968","10","417.0"
"1968","11","460.0"
"1968","12","366.0"
"1969","01","445.0"
"1969","02","332.0"
"1969","03","502.0"
"1969","04","563.0"
"1969","05","456.0"
"1969","06","407.0"
"1969","07","465.0"
"1969","08","290.0"
"1969","09","261.0"
"1969","10","272.0"
"1969","11","235.0"
"1969","12","256.0"
"1970","01","218.0"
"1970","02","252.0"
"1970","03","362.0"
"1970","04","342.0"
"1970","05","369.0"
"1970","06","391.0"
"1970","07","293.0"
"1970","08","227.0"
"1970","09","196.0"
"1970","10","280.0"
"1970","11","240.0"
"1970","12","160.0"
"1971","01","110.0"
"1971","02","190.0"
"1971","03","210.0"
"1971","04","200.0"
"1971","05","1770.0"
"1971","06","31140.0"
"1971","07","4220.0"
"1971","08","660.0"
"1971","09","730.0"
"1971","10","639.0"
"1971","11","460.0"
"1971","12","340.0"
"1972","01","323.0"
"1972","02","253.0"
"1972","03","556.0"
"1972","04","278.0"
"1972","05","732.0"
"1972","06","1020.0"
"1972","07","929.0"
"1972","08","795.0"
"1972","09","529.0"
"1972","10","531.0"
"1972","11","434.0"
"1972","12","231.0"
"1973","01","141.0"
"1973","02","126.0"
"1973","03","218.0"
"1973","04","314.0"
"1973","05","659.0"
"1973","06","887.0"
"1973","07","600.0"
"1973","08","447.0"
"1973","09","611.0"
"1973","10","537.0"
"1973","11","471.0"
"1973","12","388.0"
"1974","01","219.0"
"1974","02","227.0"
"1974","03","638.0"
"1974","04","509.0"
"1974","05","734.0"
"1974","06","829.0"
"1974","07","579.0"
"1974","08","354.0"
"1974","09","297.0"
"1974","10","608.0"
"1974","11","483.0"
"1974","12","361.0"
"1975","01","272.0"
"1975","02","232.0"
"1975","03","460.0"
"1975","04","362.0"
"1975","05","380.0"
"1975","06","554.0"
"1975","07","510.0"
"1975","08","415.0"
"1975","09","375.0"
"1975","10","407.0"
"1975","11","500.0"
"1975","12","506.0"
"1976","01","449.0"
"1976","02","310.0"
"1976","03","570.0"
"1976","04","752.0"
"1976","05","689.0"
"1976","06","795.0"
"1976","07","734.0"
"1976","08","595.0"
"1976","09","674.0"
"1976","10","444.0"
"1976","11","380.0"
"1976","12","337.0"
"1977","01","336.0"
"1977","02","328.0"
"1977","03","416.0"
"1977","04","204.0"
"1977","05","168.0"
"1977","06","62.0"
"1977","07","6.0"
"1977","08","135.0"
"1977","09","333.0"
"1977","10","404.0"
"1977","11","498.0"
"1977","12","549.0"
"1978","01","417.0"
"1978","02","379.0"
"1978","03","385.0"
"1978","04","403.0"
"1978","05","629.0"
"1978","06","807.0"
"1978","07","371.0"
"1978","08","32.0"
"1978","09","21.0"
"1978","10","375.0"
"1978","11","982.0"
"1978","12","1648.0"
"1979","01","1767.0"
"1979","02","2354.0"
"1979","03","1571.0"
"1979","04","1190.0"
"1979","05","1426.0"
"1979","06","2001.0"
"1979","07","1619.0"
"1979","08","3249.0"
"1979","09","2896.0"
"1979","10","2720.0"
"1979","11","739.0"
"1979","12","210.0"
"1980","01","284.0"
"1980","02","363.0"
"1980","03","235.0"
"1980","04","504.0"
"1980","05","813.0"
"1980","06","2904.0"
"1980","07","2555.0"
"1980","08","2122.0"
"1980","09","2154.0"
"1980","10","1121.0"
"1980","11","521.0"
"1980","12","499.0"
"1981","01","476.0"
"1981","02","367.0"
"1981","03","512.0"
"1981","04","452.0"
"1981","05","593.0"
"1981","06","701.0"
"1981","07","633.0"
"1981","08","548.0"
"1981","09","257.0"
"1981","10","916.0"
"1981","11","380.0"
"1981","12","388.0"
"1982","01","380.0"
"1982","02","360.0"
"1982","03","811.0"
"1982","04","498.0"
"1982","05","471.0"
"1982","06","594.0"
"1982","07","890.0"
"1982","08","3068.0"
"1982","09","1839.0"
"1982","10","2410.0"
"1982","11","1430.0"
"1982","12","280.0"
"1983","01","150.0"
"1983","02","90.0"
"1983","03","160.0"
"1983","04","200.0"
"1983","05","830.0"
"1983","06","42680.0"
"1983","07","39700.0"
"1983","08","950.0"
"1983","09","1390.0"
"1983","10","566.0"
"1983","11","463.0"
"1983","12","306.0"
"1984","01","215.0"
"1984","02","142.0"
"1984","03","196.0"
"1984","04","403.0"
"1984","05","1432.0"
"1984","06","1817.0"
"1984","07","661.0"
"1984","08","496.0"
"1984","09","423.0"
"1984","10","354.0"
"1984","11","351.0"
"1984","12","359.0"
"1985","01","468.0"
"1985","02","461.0"
"1985","03","767.0"
"1985","04","466.0"
"1985","05","492.0"
"1985","06","786.0"
"1985","07","794.0"
"1985","08","394.0"
"1985","09","465.0"
"1985","10","437.0"
"1985","11","280.0"
"1985","12","201.0"
"1986","01","201.0"
"1986","02","373.0"
"1986","03","1130.0"
"1986","04","686.0"
"1986","05","989.0"
"1986","06","7069.0"
"1986","07","920.0"
"1986","08","473.0"
"1986","09","408.0"
"1986","10","614.0"
"1986","11","339.0"
"1986","12","278.0"
"1987","01","248.0"
"1987","02","265.0"
"1987","03","510.0"
"1987","04","438.0"
"1987","05","1057.0"
"1987","06","704.0"
"1987","07","689.0"
"1987","08","716.0"
"1987","09","756.0"
"1987","10","778.0"
"1987","11","651.0"
"1987","12","478.0"
