"ObjectType","InstanceName","ScenarioName","MultiAttributeName","AttributeDataTypeCV","Elevation-Curve","Volume-Curve","ValueOrder","Date exported to this file"
"Reservoir","Neponset","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 0"," 6398","1","04/23/2018"
"Reservoir","Neponset","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 3500"," 6412","2","04/23/2018"
"Reservoir","Neponset","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 6005"," 6426 ","3","04/23/2018"
