"ObjectType","InstanceName","ScenarioName","MultiAttributeName","AttributeDataTypeCV","Elevation-Curve","Volume-Curve","ValueOrder","Date exported to this file"
"Reservoir","Deep Creek","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 0"," 0","1","04/23/2018"
"Reservoir","Deep Creek","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 100"," 10","2","04/23/2018"
"Reservoir","Deep Creek","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 260"," 20","3","04/23/2018"
"Reservoir","Deep Creek","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 610"," 30","4","04/23/2018"
"Reservoir","Deep Creek","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 1250"," 40","5","04/23/2018"
"Reservoir","Deep Creek","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 2100"," 50","6","04/23/2018"
"Reservoir","Deep Creek","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 3250"," 60","7","04/23/2018"
"Reservoir","Deep Creek","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 4700"," 70","8","04/23/2018"
"Reservoir","Deep Creek","USU WEAP Model 2017","Volume Elevation Curve_MA","MultiAttributeSeries"," 6150"," 80 ","9","04/23/2018"
