"ObjectType","InstanceName","ScenarioName","MultiAttributeName","AttributeDataTypeCV","fci_par1","fci_par2","fci_par3","fci_par4","ValueOrder","Date exported to this file"
"envSiteExist","j18j7","base case scenario 2003","fci_par","MultiAttributeSeries","0.001","0.001","0.001","0.001","1","05/27/2018"
"envSiteExist","j18j7","base case scenario 2003","fci_par","MultiAttributeSeries","0.001","0.001","0.001","0.001","2","05/27/2018"
"envSiteExist","j18j7","base case scenario 2003","fci_par","MultiAttributeSeries","0.001","0.001","0.001","0.001","3","05/27/2018"
"envSiteExist","j18j7","base case scenario 2003","fci_par","MultiAttributeSeries","0.00154895354358119","0.988295073798089","93.8181146709372","4.14154257941194","4","05/27/2018"
"envSiteExist","j18j7","base case scenario 2003","fci_par","MultiAttributeSeries","0.00154895354358119","0.988295073798089","93.8181146709372","4.14154257941194","5","05/27/2018"
"envSiteExist","j18j7","base case scenario 2003","fci_par","MultiAttributeSeries","0.00154895354358119","0.988295073798089","93.8181146709372","4.14154257941194","6","05/27/2018"
"envSiteExist","j18j7","base case scenario 2003","fci_par","MultiAttributeSeries","0.00154895354358119","0.988295073798089","93.8181146709372","4.14154257941194","7","05/27/2018"
"envSiteExist","j18j7","base case scenario 2003","fci_par","MultiAttributeSeries","0.00154895354358119","0.988295073798089","93.8181146709372","4.14154257941194","8","05/27/2018"
"envSiteExist","j18j7","base case scenario 2003","fci_par","MultiAttributeSeries","0.001","0.001","0.001","0.001","9","05/27/2018"
"envSiteExist","j18j7","base case scenario 2003","fci_par","MultiAttributeSeries","0.001","0.001","0.001","0.001","10","05/27/2018"
"envSiteExist","j18j7","base case scenario 2003","fci_par","MultiAttributeSeries","0.001","0.001","0.001","0.001","11","05/27/2018"
"envSiteExist","j18j7","base case scenario 2003","fci_par","MultiAttributeSeries","0.001","0.001","0.001","0.001","12","05/27/2018"
