"ObjectType","InstanceName","ScenarioName","MultiAttributeName","AttributeDataTypeCV","fci_par1","fci_par2","fci_par3","fci_par4","ValueOrder","Date exported to this file"
"envSiteExist","j6j5","base case scenario 2003","fci_par","MultiAttributeSeries","0.001","0.001","0.001","0.001","1","05/27/2018"
"envSiteExist","j6j5","base case scenario 2003","fci_par","MultiAttributeSeries","0.001","0.001","0.001","0.001","2","05/27/2018"
"envSiteExist","j6j5","base case scenario 2003","fci_par","MultiAttributeSeries","0.001","0.001","0.001","0.001","3","05/27/2018"
"envSiteExist","j6j5","base case scenario 2003","fci_par","MultiAttributeSeries","0.157872314146669","1.01044076560597","38.7911559213464","3.34461035371897","4","05/27/2018"
"envSiteExist","j6j5","base case scenario 2003","fci_par","MultiAttributeSeries","0.157872314146669","1.01044076560597","38.7911559213464","3.34461035371897","5","05/27/2018"
"envSiteExist","j6j5","base case scenario 2003","fci_par","MultiAttributeSeries","0.157872314146669","1.01044076560597","38.7911559213464","3.34461035371897","6","05/27/2018"
"envSiteExist","j6j5","base case scenario 2003","fci_par","MultiAttributeSeries","0.157872314146669","1.01044076560597","38.7911559213464","3.34461035371897","7","05/27/2018"
"envSiteExist","j6j5","base case scenario 2003","fci_par","MultiAttributeSeries","0.157872314146669","1.01044076560597","38.7911559213464","3.34461035371897","8","05/27/2018"
"envSiteExist","j6j5","base case scenario 2003","fci_par","MultiAttributeSeries","0.001","0.001","0.001","0.001","9","05/27/2018"
"envSiteExist","j6j5","base case scenario 2003","fci_par","MultiAttributeSeries","0.001","0.001","0.001","0.001","10","05/27/2018"
"envSiteExist","j6j5","base case scenario 2003","fci_par","MultiAttributeSeries","0.001","0.001","0.001","0.001","11","05/27/2018"
"envSiteExist","j6j5","base case scenario 2003","fci_par","MultiAttributeSeries","0.001","0.001","0.001","0.001","12","05/27/2018"
