"ObjectType","InstanceName","ScenarioName","MultiAttributeName","AttributeDataTypeCV","fci_par1","fci_par2","fci_par3","fci_par4","ValueOrder","Date exported to this file"
"envSiteExist","j1j4","base case scenario 2003","fci_par","MultiAttributeSeries","0.001","0.001","0.001","0.001","1","05/27/2018"
"envSiteExist","j1j4","base case scenario 2003","fci_par","MultiAttributeSeries","0.001","0.001","0.001","0.001","2","05/27/2018"
"envSiteExist","j1j4","base case scenario 2003","fci_par","MultiAttributeSeries","0.001","0.001","0.001","0.001","3","05/27/2018"
"envSiteExist","j1j4","base case scenario 2003","fci_par","MultiAttributeSeries","0.0148702770666361","1.01135107204559","140.169332895809","14.7515120046354","4","05/27/2018"
"envSiteExist","j1j4","base case scenario 2003","fci_par","MultiAttributeSeries","0.0148702770666361","1.01135107204559","140.169332895809","14.7515120046354","5","05/27/2018"
"envSiteExist","j1j4","base case scenario 2003","fci_par","MultiAttributeSeries","0.0148702770666361","1.01135107204559","140.169332895809","14.7515120046354","6","05/27/2018"
"envSiteExist","j1j4","base case scenario 2003","fci_par","MultiAttributeSeries","0.0148702770666361","1.01135107204559","140.169332895809","14.7515120046354","7","05/27/2018"
"envSiteExist","j1j4","base case scenario 2003","fci_par","MultiAttributeSeries","0.0148702770666361","1.01135107204559","140.169332895809","14.7515120046354","8","05/27/2018"
"envSiteExist","j1j4","base case scenario 2003","fci_par","MultiAttributeSeries","0.001","0.001","0.001","0.001","9","05/27/2018"
"envSiteExist","j1j4","base case scenario 2003","fci_par","MultiAttributeSeries","0.001","0.001","0.001","0.001","10","05/27/2018"
"envSiteExist","j1j4","base case scenario 2003","fci_par","MultiAttributeSeries","0.001","0.001","0.001","0.001","11","05/27/2018"
"envSiteExist","j1j4","base case scenario 2003","fci_par","MultiAttributeSeries","0.001","0.001","0.001","0.001","12","05/27/2018"
