"ObjectType","InstanceName","ScenarioName","MultiAttributeName","AttributeDataTypeCV","fci_par1","fci_par2","fci_par3","fci_par4","ValueOrder","Date exported to this file"
"envSiteExist","j31j30","base case scenario 2003","fci_par","MultiAttributeSeries","0.001","0.001","0.001","0.001","1","05/27/2018"
"envSiteExist","j31j30","base case scenario 2003","fci_par","MultiAttributeSeries","0.001","0.001","0.001","0.001","2","05/27/2018"
"envSiteExist","j31j30","base case scenario 2003","fci_par","MultiAttributeSeries","0.001","0.001","0.001","0.001","3","05/27/2018"
"envSiteExist","j31j30","base case scenario 2003","fci_par","MultiAttributeSeries","0.0126962115170645","1.00563378113752","22.3902316102347","1.95806825558603","4","05/27/2018"
"envSiteExist","j31j30","base case scenario 2003","fci_par","MultiAttributeSeries","0.0126962115170645","1.00563378113752","22.3902316102347","1.95806825558603","5","05/27/2018"
"envSiteExist","j31j30","base case scenario 2003","fci_par","MultiAttributeSeries","0.0126962115170645","1.00563378113752","22.3902316102347","1.95806825558603","6","05/27/2018"
"envSiteExist","j31j30","base case scenario 2003","fci_par","MultiAttributeSeries","0.0126962115170645","1.00563378113752","22.3902316102347","1.95806825558603","7","05/27/2018"
"envSiteExist","j31j30","base case scenario 2003","fci_par","MultiAttributeSeries","0.0126962115170645","1.00563378113752","22.3902316102347","1.95806825558603","8","05/27/2018"
"envSiteExist","j31j30","base case scenario 2003","fci_par","MultiAttributeSeries","0.001","0.001","0.001","0.001","9","05/27/2018"
"envSiteExist","j31j30","base case scenario 2003","fci_par","MultiAttributeSeries","0.001","0.001","0.001","0.001","10","05/27/2018"
"envSiteExist","j31j30","base case scenario 2003","fci_par","MultiAttributeSeries","0.001","0.001","0.001","0.001","11","05/27/2018"
"envSiteExist","j31j30","base case scenario 2003","fci_par","MultiAttributeSeries","0.001","0.001","0.001","0.001","12","05/27/2018"
