dimen,id,cr_date,name
-,373,2018-03-13 17:40:14,Generating Efficiency
-,374,2018-03-13 17:40:14,Hydropower Priority
-,375,2018-03-13 17:40:15,Energy Demand
-,376,2018-03-13 17:40:15,Electricity Revenue
-,377,2018-03-13 17:40:16,Priority seasonal
-,378,2018-03-13 17:40:16,Maximum Withdrawal
-,379,2018-03-13 17:40:16,Natural Recharge
-,380,2018-03-13 17:40:17,Headflow
-,381,2018-03-13 17:40:18,Evaporation
-,382,2018-03-13 17:40:18,Groundwater Inflow
-,383,2018-03-13 17:40:18,Groundwater Outflow
-,384,2018-03-13 17:40:18,Maximum Diversion
-,385,2018-03-13 17:40:19,Reach Length
-,386,2018-03-13 17:40:19,Surface Water Inflow
-,387,2018-03-13 17:40:19,Water Temperature
-,388,2018-03-13 17:40:19,Maximum Flow   Volume
-,389,2018-03-13 17:40:19,Maximum Flow   Percent of Demand
-,390,2018-03-13 17:40:20,Loss from System
-,391,2018-03-13 17:40:21,Return Flow Routing
-,392,2018-03-13 17:40:21,Gain from Groundwater
-,393,2018-03-13 17:40:22,Minimum Flow Requirement
-,394,2018-03-13 17:40:23,Streamflow Data
-,395,2018-03-13 17:40:23,DO Concentration Data
-,396,2018-03-13 17:40:23,BOD Concentration Data
-,397,2018-03-13 17:40:23,BOD Removal
-,398,2018-03-13 17:40:23,DO Removal
-,399,2018-03-13 17:40:23,Daily Capacity
-,400,2018-03-13 17:40:25,Fixed Head
-,401,2018-03-13 17:40:25,Max Turbine Flow
-,402,2018-03-13 17:40:26,Headflow_Time_Series
-,403,2018-03-13 17:40:26,Headflow_Seasonal
Volumetric flow rate,404,2018-03-13 17:47:02,Capital Costs
unknown,405,2018-03-13 18:55:52,Definitions
unknown,406,2018-03-13 18:55:52,Sqeuence
unknown,407,2018-03-13 18:55:52,DO Decrease
unknown,408,2018-03-13 18:55:52,BOD Decrease
unknown,409,2018-03-13 18:55:53,Monthly Demand
unknown,410,2018-03-13 18:55:53,Monthly DemandS
unknown,411,2018-03-13 18:55:53,Annual Water Use Rate
unknown,412,2018-03-13 18:55:53,Monthly Variation
unknown,413,2018-03-13 18:55:53,Consumption
unknown,414,2018-03-13 18:55:53,Loss Rate
unknown,415,2018-03-13 18:55:54,DO Inflow
unknown,416,2018-03-13 18:55:54,BOD Inflow
unknown,417,2018-03-13 18:55:54,BOD Intensity
unknown,418,2018-03-13 18:55:54,DO Intensity
unknown,419,2018-03-13 18:55:54,DO Concentration
unknown,420,2018-03-13 18:55:54,BOD Concentration
unknown,421,2018-03-13 18:55:54,Capital Costs
unknown,422,2018-03-13 18:55:55,Variable Operating Costs
unknown,423,2018-03-13 18:55:55,Fixed Operating Costs
unknown,424,2018-03-13 18:55:55,Variable Benefits
unknown,425,2018-03-13 18:55:55,Fixed Benefits
unknown,426,2018-03-13 18:55:55,Demand Priority
unknown,427,2018-03-13 18:55:55,Storage Capacity
unknown,428,2018-03-13 18:55:56,Initial Storage
unknown,429,2018-03-13 18:55:56,Volume Elevation Curve
unknown,430,2018-03-13 18:55:56,Volume-Curve
unknown,431,2018-03-13 18:55:56,Elevation-Curve
unknown,432,2018-03-13 18:55:56,Maximum Hydraulic Outflow
unknown,433,2018-03-13 18:55:56,Net Evaporation
unknown,434,2018-03-13 18:55:56,Priority
unknown,435,2018-03-13 18:55:57,Loss to Groundwater
unknown,436,2018-03-13 18:55:57,Observed Volume
unknown,437,2018-03-13 18:55:57,Top of Conservation
unknown,438,2018-03-13 18:55:57,Top of Buffer
unknown,439,2018-03-13 18:55:57,Top of Inactive
unknown,440,2018-03-13 18:55:57,Buffer Coefficient
unknown,441,2018-03-13 18:55:57,Max. Turbine Flow
unknown,442,2018-03-13 18:55:58,Tailwater Elevation
unknown,443,2018-03-13 18:55:58,Plant Factor
unknown,444,2018-03-13 18:55:58,Generating Efficiency
unknown,445,2018-03-13 18:55:58,Hydropower Priority
unknown,446,2018-03-13 18:55:58,Energy Demand
unknown,447,2018-03-13 18:55:59,Electricity Revenue
unknown,448,2018-03-13 18:55:59,Priority seasonal
unknown,449,2018-03-13 18:56:00,Maximum Withdrawal
unknown,450,2018-03-13 18:56:00,Natural Recharge
unknown,451,2018-03-13 18:56:01,Headflow
unknown,452,2018-03-13 18:56:02,Evaporation
unknown,453,2018-03-13 18:56:02,Groundwater Inflow
unknown,454,2018-03-13 18:56:02,Groundwater Outflow
unknown,455,2018-03-13 18:56:02,Maximum Diversion
unknown,456,2018-03-13 18:56:03,Reach Length
unknown,457,2018-03-13 18:56:03,Surface Water Inflow
unknown,458,2018-03-13 18:56:03,Water Temperature
unknown,459,2018-03-13 18:56:03,Maximum Flow   Volume
unknown,460,2018-03-13 18:56:03,Maximum Flow   Percent of Demand
unknown,461,2018-03-13 18:56:04,Loss from System
unknown,462,2018-03-13 18:56:05,Return Flow Routing
unknown,463,2018-03-13 18:56:05,Gain from Groundwater
unknown,464,2018-03-13 18:56:06,Minimum Flow Requirement
unknown,465,2018-03-13 18:56:07,Streamflow Data
unknown,466,2018-03-13 18:56:07,DO Concentration Data
unknown,467,2018-03-13 18:56:07,BOD Concentration Data
unknown,468,2018-03-13 18:56:07,BOD Removal
unknown,469,2018-03-13 18:56:08,DO Removal
