dimen,id,cr_date,name
Volumetric flow rate,102,12/1/2017 1:38,Observed Outflow
Volumetric flow rate,103,12/1/2017 1:43,Observed Delivery
Volumetric flow rate,104,12/6/2017 4:01,Spill
dimensionless,105,1/4/2018 18:01,IWHICH3
dimensionless,106,1/4/2018 18:01,Inflow
dimensionless,107,1/4/2018 18:01,Outflow
Area,111,1/4/2018 20:46,Inflows filename
Volumetric flow rate,112,1/4/2018 20:46,Release
Volume,113,1/4/2018 20:46,Priority
Density,114,1/8/2018 19:50,germiness
Dollar,115,1/22/2018 2:23,b
Million square mile,116,1/22/2018 2:23,Z
Million cubic meter per month,117,1/22/2018 2:23,dReq
percent,118,1/22/2018 2:23,cons
dimensionless,119,1/22/2018 2:23,Dvalue
dimensionless,120,1/22/2018 2:23,LinktoReservoir
dimensionless,121,1/22/2018 2:23,LinkOutReservoir
Meter per month,122,1/22/2018 2:23,evap
Million cubic meter,123,1/22/2018 2:23,minstor
Million cubic meter,124,1/22/2018 2:23,maxstor
Million cubic meter,125,1/22/2018 2:23,initSTOR
dimensionless,126,1/22/2018 2:23,RA_par
Mm2/(Mm3)^2,127,1/22/2018 2:23,RA_par1
year month day,128,1/22/2018 2:23,RA_par2
Milion square meter,129,1/22/2018 2:23,RA_par3
dimensionless,130,1/22/2018 2:23,LinkID
dimensionless,131,1/22/2018 2:23,envSiteExist
dimensionless,132,1/22/2018 2:23,linkexist
dimensionless,133,1/22/2018 2:23,returnFlowExist
dimensionless,134,1/22/2018 2:23,DiversionExist
dimensionless,135,1/22/2018 2:23,WetlandsExist
dimensionless,136,1/22/2018 2:23,wght-riverine
dimensionless,137,1/22/2018 2:23,wght-floodplain
dimensionless,138,1/22/2018 2:23,wght-wetlands
Milion square meter,139,1/22/2018 2:23,aw
percent,140,1/22/2018 2:23,lss
meter,141,1/22/2018 2:23,lng
meter,142,1/22/2018 2:23,InitD
Milion square meter,143,1/22/2018 2:23,InitC
Milion square meter,144,1/22/2018 2:23,rv
1/m,145,1/22/2018 2:23,h
dimensionless,146,1/22/2018 2:23,sf_par_indx
month/Mm2,147,1/22/2018 2:23,sf_par1
meter,148,1/22/2018 2:23,sf_par2
dimensionless,149,1/22/2018 2:23,rsi_indx
dimensionless,150,1/22/2018 2:23,rsi_par1
dimensionless,151,1/22/2018 2:23,rsi_par2
dimensionless,152,1/22/2018 2:23,rsi_par3
dimensionless,153,1/22/2018 2:24,rsi_par4
dimensionless,154,1/22/2018 2:24,Func_typ
dimensionless,155,1/22/2018 2:24,wf_par_indx
month/Mm2,156,1/22/2018 2:24,wf_par1
